data_criacao,total_de_visualizacoes
2005-06-01,1201622772.0
2005-08-01,11772839.0
2005-09-01,10676439560.186432
2005-10-01,35099869430.80088
2005-11-01,58305158741.09588
2005-12-01,7618062295.068902
2006-01-01,41118974384.61686
2006-02-01,23672090832.75776
2006-03-01,278781130092.53986
2006-04-01,62533881652.96406
2006-05-01,72396077608.20999
2006-06-01,1609024735.0
2006-07-01,26040859602.0
2006-08-01,53758702483.0
2006-09-01,226000728435.2697
2006-10-01,3660326159.0
2006-11-01,1203361.0
2006-12-01,51775381508.05482
2007-01-01,33335412493.0
2007-02-01,55294898773.0
2007-03-01,3675525.018
2007-04-01,5500020980.0
2007-05-01,39219253737.0
2007-06-01,4574292556.0
2007-07-01,24868159060.075027
2007-08-01,118840279507.0
2007-09-01,11009561286.0
2007-10-01,5758729676.199
2007-11-01,140456057.0
2007-12-01,27402977936.0
2008-01-01,73470031354.0
2008-02-01,14345612655.878
2008-03-01,4583720516.0
2008-04-01,9985126808.08116
2008-05-01,30607361941.125
2008-06-01,4495417455.0
2008-07-01,34612467774.0
2008-08-01,19215653327.0
2008-09-01,1674167782.0
2008-10-01,19422261123.0
2008-12-01,1881149876.0
2009-02-01,7494593052.0
2009-03-01,20779431605.0
2009-04-01,3289239907.703
2009-05-01,538743667.3208154
2009-06-01,33600503057.357155
2009-07-01,4776566446.0311
2009-08-01,32264424695.0
2009-09-01,47771483747.172516
2009-10-01,15521665940.0
2009-11-01,3528675865.531
2009-12-01,21614306683.0
2010-01-01,22154686521.227062
2010-03-01,5109477252.0
2010-04-01,749124075.1118563
2010-05-01,38846267877.064
2010-06-01,0.008393464
2010-07-01,15383966467.0
2010-08-01,231564626.40493706
2010-09-01,19730287103.984226
2010-10-01,15242324652.0
2010-11-01,1891807707.0
2010-12-01,8591336253.0
2011-01-01,11784964770.0
2011-02-01,75004994791.0
2011-03-01,23733608.155705165
2011-04-01,5549009047.511878
2011-05-01,88903076099.21748
2011-06-01,74051548102.16423
2011-07-01,17395966.88614516
2011-08-01,6240299452.177024
2011-09-01,33627304757.59346
2011-10-01,11101727321.18719
2011-11-01,30768814020.0
2011-12-01,64691911445.0
2012-01-01,32312063720.0
2012-02-01,53014293362.6949
2012-03-01,48659431695.0
2012-04-01,32842196267.0
2012-05-01,13732343180.002056
2012-06-01,10690382249.414593
2012-07-01,6637414311.316468
2012-08-01,27863414204.0
2012-09-01,2245349504.562
2012-10-01,25667080799.0
2012-11-01,53729379064.0
2012-12-01,30206711459.52446
2013-01-01,69544137373.0
2013-02-01,16441899891.290844
2013-03-01,22039156225.08094
2013-04-01,22928812304.40568
2013-05-01,47139434185.41682
2013-06-01,35542197759.2122
2013-07-01,15344471076.443222
2013-08-01,8658696754.438446
2013-09-01,13819962907.141909
2013-10-01,39775249248.5194
2013-11-01,4589629818.0
2013-12-01,21674046442.185364
2014-01-01,44085211174.0
2014-02-01,11762602467.0
2014-03-01,121062959083.89449
2014-04-01,25640518486.629
2014-05-01,16864290656.120398
2014-06-01,87475948945.71695
2014-07-01,46646038065.731
2014-08-01,82098980971.87756
2014-09-01,34660567571.0
2014-10-01,24290628493.0
2014-11-01,4329218656.013155
2014-12-01,12772084996.000137
2015-01-01,32779786551.971478
2015-02-01,10040386976.455002
2015-03-01,43156910555.87597
2015-04-01,1419419370.0
2015-05-01,121763655172.0
2015-06-01,38300207229.265594
2015-07-01,32422595081.408
2015-08-01,31726154080.006073
2015-09-01,45400940566.941444
2015-10-01,54622356099.803
2015-11-01,4911999835.0000515
2015-12-01,4084189759.0
2016-01-01,1919927.964792737
2016-02-01,46625625173.66723
2016-03-01,80664199197.8624
2016-04-01,4574145.838658541
2016-05-01,846146521.0
2016-06-01,13855856063.0
2016-07-01,139444265338.0
2016-08-01,31658340693.124
2016-09-01,50750023103.0
2016-10-01,17668448258.0
2016-11-01,48107302767.66392
2016-12-01,120017690001.0
2017-01-01,26668355542.91247
2017-02-01,38406212230.08476
2017-03-01,20594830662.127003
2017-04-01,32552964544.052494
2017-05-01,15067662973.0
2017-06-01,18190065477.0
2017-07-01,9842921815.081806
2017-08-01,17923834716.90764
2017-09-01,17369675967.000652
2017-10-01,39386277653.02006
2017-11-01,86898270639.44968
2017-12-01,27945795169.067677
2018-01-01,25815099753.278534
2018-02-01,12648208764.621
2018-03-01,25762335290.48767
2018-04-01,99897545549.76881
2018-05-01,42124784889.0
2018-06-01,34293349447.790344
2018-07-01,37410491383.0
2018-08-01,6030676561.0
2018-09-01,2224543071.0
2018-10-01,21529774801.566
2018-11-01,5368056582.0
2018-12-01,4895182309.462
2019-01-01,28535903992.0
2019-02-01,12205527518.60567
2019-03-01,23780494052.0
2019-04-01,26176631395.132374
2019-05-01,20219802748.061493
2019-06-01,23273196388.04722
2019-07-01,106845276731.0
2019-08-01,24099749401.41256
2019-09-01,1963691574.1632757
2019-10-01,7568802079.001496
2019-11-01,5147995162.461901
2019-12-01,3602359390.0
2020-01-01,38809776768.86085
2020-02-01,59636453371.0
2020-03-01,30298118867.586403
2020-04-01,18430627680.989346
2020-05-01,44399984420.59556
2020-06-01,22142422780.0
2020-07-01,49547237950.58155
2020-08-01,64526980541.23998
2020-09-01,66168105195.88894
2020-10-01,18809357914.353348
2020-11-01,24524445327.084457
2020-12-01,69752454048.15695
2021-01-01,76895219531.96603
2021-02-01,45282939714.52873
2021-03-01,18213163553.774918
2021-04-01,89169232473.40932
2021-05-01,39681579828.06169
2021-06-01,71826560231.80304
2021-07-01,73106741144.54788
2021-08-01,37225644793.417656
2021-09-01,42203312037.549416
2021-10-01,43356255874.40614
2021-11-01,20105937827.359684
2021-12-01,1841238363.0436983
2022-01-01,20103051176.774963
2022-02-01,17253779600.0
2022-03-01,13595032127.329607
2022-04-01,1405486814.3056862
2022-05-01,6979850771.0
2022-06-01,14015254996.042
2022-07-01,16411164982.0
2022-08-01,22499697787.0
2022-09-01,4435095904.0
2022-10-01,392196965.0
2022-11-01,1924188961.0
2022-12-01,2419569509.0
2023-01-01,11221746687.0
2023-02-01,1265087814.0
2023-03-01,10264247680.0
2023-04-01,292605451.0
2023-05-01,9610405343.614494
2023-06-01,3053185454.0
2023-07-01,1337728494.0
2023-08-01,1204940119.0
2023-09-01,361647951.0
2023-10-01,6610687732.0
2023-11-01,1693240927.0
2023-12-01,731989967.0
2024-01-01,1171471528.0
2024-02-01,746467839.0
2024-03-01,658199149.0
2024-04-01,290303408.0
2024-05-01,651815.0
